Vehicle_ID,Speed_km_h
57,79
349,96
420,79
536,128
540,96
613,100
694,62
718,94
736,90
746,88
777,66
802,116
842,71
844,120
846,73
845,69
854,104
869,127
871,113
870,87
875,121
878,114
879,95
917,67
951,115
999,67
998,81
1003,88
1006,110
1046,88
1058,109
1108,100
1163,135
1116,69
1132,88
1188,95
1190,85
1193,128
1195,86
1194,93
