Vehicle_ID,Speed_km_h
15,34
16,39
48,36
67,45
70,47
69,37
5,29
96,37
111,32
109,34
132,39
184,39
183,36
177,28
203,36
246,26
257,33
274,32
268,33
296,45
314,29
307,50
336,33
335,36
342,47
368,47
389,45
402,50
383,45
387,36
429,42
462,39
471,47
534,45
544,34
580,40
570,42
587,42
607,50
602,52
618,39
628,36
665,34
679,47
693,36
